TIMESTAMP,TECHNOLOGIES,availabilityFactor
1,Fossil Gas,0.8986423220973783
1,Fossil Hard coal,0.6079412746079412
1,Fossil Oil,0.7961328289197142
1,Hydro Water Reservoir,0.9478303266699171
1,Nuclear,0.8999683193410423
2,Fossil Gas,0.8986423220973783
2,Fossil Hard coal,0.6079412746079412
2,Fossil Oil,0.7961328289197142
2,Hydro Water Reservoir,0.9478303266699171
2,Nuclear,0.8999683193410423
3,Fossil Gas,0.8986423220973783
3,Fossil Hard coal,0.6079412746079412
3,Fossil Oil,0.7961328289197142
3,Hydro Water Reservoir,0.9478303266699171
3,Nuclear,0.8999683193410423
4,Fossil Gas,0.8986423220973783
4,Fossil Hard coal,0.6079412746079412
4,Fossil Oil,0.7961328289197142
4,Hydro Water Reservoir,0.9478303266699171
4,Nuclear,0.8884840804688737
5,Fossil Gas,0.8986423220973783
5,Fossil Hard coal,0.6079412746079412
5,Fossil Oil,0.7961328289197142
5,Hydro Water Reservoir,0.9478303266699171
5,Nuclear,0.8884840804688737
6,Fossil Gas,0.8986423220973783
6,Fossil Hard coal,0.6079412746079412
6,Fossil Oil,0.7961328289197142
6,Hydro Water Reservoir,0.9478303266699171
6,Nuclear,0.8884840804688737
7,Fossil Gas,0.8986423220973783
7,Fossil Hard coal,0.6079412746079412
7,Fossil Oil,0.7961328289197142
7,Hydro Water Reservoir,0.9478303266699171
7,Nuclear,0.8884840804688737
8,Fossil Gas,0.8986423220973783
8,Fossil Hard coal,0.6079412746079412
8,Fossil Oil,0.7961328289197142
8,Hydro Water Reservoir,0.9478303266699171
8,Nuclear,0.8884840804688737
9,Fossil Gas,0.8986423220973783
9,Fossil Hard coal,0.6079412746079412
9,Fossil Oil,0.7961328289197142
9,Hydro Water Reservoir,0.9478303266699171
9,Nuclear,0.8884840804688737
10,Fossil Gas,0.8986423220973783
10,Fossil Hard coal,0.6079412746079412
10,Fossil Oil,0.7961328289197142
10,Hydro Water Reservoir,0.9478303266699171
10,Nuclear,0.8884840804688737
11,Fossil Gas,0.8986423220973783
11,Fossil Hard coal,0.6079412746079412
11,Fossil Oil,0.7961328289197142
11,Hydro Water Reservoir,0.9478303266699171
11,Nuclear,0.8884840804688737
