AREAS,DateTime,price_obs
FR,2015-01-01T00:00:00Z,51.93
FR,2015-01-01T01:00:00Z,48.76
FR,2015-01-01T02:00:00Z,42.27
FR,2015-01-01T03:00:00Z,38.41
FR,2015-01-01T04:00:00Z,35.72
FR,2015-01-01T05:00:00Z,32.66
FR,2015-01-01T06:00:00Z,32.83
FR,2015-01-01T07:00:00Z,30.06
FR,2015-01-01T08:00:00Z,29.24
FR,2015-01-01T09:00:00Z,37.54
FR,2015-01-01T10:00:00Z,41.19
FR,2015-01-01T11:00:00Z,44.69
FR,2015-01-01T12:00:00Z,39.77
FR,2015-01-01T13:00:00Z,33.29
FR,2015-01-01T14:00:00Z,32.47
FR,2015-01-01T15:00:00Z,34.73
FR,2015-01-01T16:00:00Z,40.95
FR,2015-01-01T17:00:00Z,51.25
FR,2015-01-01T18:00:00Z,52.55
FR,2015-01-01T19:00:00Z,49.55
FR,2015-01-01T20:00:00Z,46.31
FR,2015-01-01T21:00:00Z,48.75
FR,2015-01-01T22:00:00Z,47.59
FR,2015-01-01T23:00:00Z,38.8
FR,2015-01-02T00:00:00Z,36.73
FR,2015-01-02T01:00:00Z,33.52
FR,2015-01-02T02:00:00Z,27.5
FR,2015-01-02T03:00:00Z,22.84
FR,2015-01-02T04:00:00Z,26.1
FR,2015-01-02T05:00:00Z,27.17
FR,2015-01-02T06:00:00Z,33.33
FR,2015-01-02T07:00:00Z,42.06
FR,2015-01-02T08:00:00Z,46.13
FR,2015-01-02T09:00:00Z,44.05
FR,2015-01-02T10:00:00Z,45.3
FR,2015-01-02T11:00:00Z,48.64
FR,2015-01-02T12:00:00Z,44.87
FR,2015-01-02T13:00:00Z,41
FR,2015-01-02T14:00:00Z,39.78
FR,2015-01-02T15:00:00Z,39.73
FR,2015-01-02T16:00:00Z,50.24
FR,2015-01-02T17:00:00Z,54.1
FR,2015-01-02T18:00:00Z,53.13
FR,2015-01-02T19:00:00Z,48.81
FR,2015-01-02T20:00:00Z,42.99
FR,2015-01-02T21:00:00Z,48.76
FR,2015-01-02T22:00:00Z,48.45
FR,2015-01-02T23:00:00Z,46.97
FR,2015-01-03T00:00:00Z,43.27
FR,2015-01-03T01:00:00Z,41.76
FR,2015-01-03T02:00:00Z,37.54
FR,2015-01-03T03:00:00Z,32.99
FR,2015-01-03T04:00:00Z,31.24
FR,2015-01-03T05:00:00Z,36.71
FR,2015-01-03T06:00:00Z,39.47
FR,2015-01-03T07:00:00Z,44.51
FR,2015-01-03T08:00:00Z,44.45
FR,2015-01-03T09:00:00Z,45.01
FR,2015-01-03T10:00:00Z,45.36
FR,2015-01-03T11:00:00Z,45.6
FR,2015-01-03T12:00:00Z,43.4
FR,2015-01-03T13:00:00Z,39.6
FR,2015-01-03T14:00:00Z,35.48
FR,2015-01-03T15:00:00Z,33.85
FR,2015-01-03T16:00:00Z,45.96
FR,2015-01-03T17:00:00Z,49.82
FR,2015-01-03T18:00:00Z,47.62
FR,2015-01-03T19:00:00Z,43.79
FR,2015-01-03T20:00:00Z,42.44
FR,2015-01-03T21:00:00Z,42.03
FR,2015-01-03T22:00:00Z,40.91
FR,2015-01-03T23:00:00Z,36.26
FR,2015-01-04T00:00:00Z,32.28
FR,2015-01-04T01:00:00Z,27.63
FR,2015-01-04T02:00:00Z,23.94
FR,2015-01-04T03:00:00Z,15.69
FR,2015-01-04T04:00:00Z,18.14
FR,2015-01-04T05:00:00Z,20.03
FR,2015-01-04T06:00:00Z,19.23
FR,2015-01-04T07:00:00Z,27.31
FR,2015-01-04T08:00:00Z,34.54
FR,2015-01-04T09:00:00Z,36.7
FR,2015-01-04T10:00:00Z,37.14
FR,2015-01-04T11:00:00Z,42.55
FR,2015-01-04T12:00:00Z,38.34
FR,2015-01-04T13:00:00Z,32.68
FR,2015-01-04T14:00:00Z,25.25
FR,2015-01-04T15:00:00Z,30.43
FR,2015-01-04T16:00:00Z,43.04
FR,2015-01-04T17:00:00Z,54.35
FR,2015-01-04T18:00:00Z,51.57
FR,2015-01-04T19:00:00Z,49.99
FR,2015-01-04T20:00:00Z,41.18
FR,2015-01-04T21:00:00Z,44.79
